Time: 00:03 - Junction2: 14 cars through north, 30 waiting
Time: 00:15 - Junction2: 16 cars through north, 50 waiting
Time: 00:18 - Junction2: 7 cars through Rj3to2, 0 waiting
Time: 00:27 - Junction2: 15 cars through north, 47 waiting
Time: 00:29 - Junction2: 10 cars through Rj3to2, 3 waiting
Time: 00:38 - Junction2: 17 cars through north, 48 waiting
Time: 00:41 - Junction2: 9 cars through Rj3to2, 2 waiting
Time: 00:50 - Junction2: 15 cars through north, 47 waiting
Time: 00:53 - Junction2: 4 cars through Rj3to2, 4 waiting
Time: 01:02 - Junction2: 15 cars through north, 47 waiting
Time: 01:05 - Junction2: 7 cars through Rj3to2, 0 waiting
Time: 01:14 - Junction2: 3 cars through north, 50 waiting
Time: 01:17 - Junction2: 7 cars through Rj3to2, 0 waiting
Time: 01:25 - Junction2: 16 cars through north, 49 waiting
Time: 01:28 - Junction2: 10 cars through Rj3to2, 2 waiting
Time: 01:37 - Junction2: 2 cars through north, 50 waiting
Time: 01:40 - Junction2: 5 cars through Rj3to2, 0 waiting
Time: 01:49 - Junction2: 6 cars through north, 50 waiting
Time: 01:52 - Junction2: 4 cars through Rj3to2, 0 waiting
Time: 02:00 - Junction2: 11 cars through north, 49 waiting
Time: 02:03 - Junction2: 6 cars through Rj3to2, 0 waiting
Time: 02:12 - Junction2: 9 cars through north, 50 waiting
Time: 02:15 - Junction2: 7 cars through Rj3to2, 0 waiting
Time: 02:24 - Junction2: 4 cars through north, 50 waiting
Time: 02:27 - Junction2: 2 cars through Rj3to2, 0 waiting
Time: 02:36 - Junction2: 15 cars through north, 47 waiting
Time: 02:38 - Junction2: 7 cars through Rj3to2, 0 waiting
Time: 02:47 - Junction2: 8 cars through north, 50 waiting
Time: 02:50 - Junction2: 4 cars through Rj3to2, 0 waiting
Time: 02:59 - Junction2: 2 cars through north, 50 waiting
Time: 03:02 - Junction2: 3 cars through Rj3to2, 0 waiting
Time: 03:11 - Junction2: 15 cars through north, 48 waiting
Time: 03:14 - Junction2: 6 cars through Rj3to2, 0 waiting
Time: 03:22 - Junction2: 7 cars through north, 50 waiting
Time: 03:25 - Junction2: 2 cars through Rj3to2, 0 waiting
Time: 03:34 - Junction2: 14 cars through north, 50 waiting
Time: 03:37 - Junction2: 5 cars through Rj3to2, 0 waiting
Time: 03:46 - Junction2: 7 cars through north, 50 waiting
Time: 03:49 - Junction2: 10 cars through Rj3to2, 1 waiting
Time: 03:57 - Junction2: 5 cars through north, 50 waiting
Time: 04:00 - Junction2: 4 cars through Rj3to2, 0 waiting
Time: 04:09 - Junction2: 8 cars through north, 50 waiting
Time: 04:12 - Junction2: 4 cars through Rj3to2, 0 waiting
Time: 04:21 - Junction2: 11 cars through north, 48 waiting
Time: 04:24 - Junction2: 10 cars through Rj3to2, 1 waiting
Time: 04:30 - Junction2: 2 cars through Rj1to2, 0 waiting
Time: 04:33 - Junction2: 5 cars through north, 50 waiting
Time: 04:35 - Junction2: 4 cars through Rj3to2, 0 waiting
Time: 04:41 - Junction2: 1 cars through Rj1to2, 0 waiting
Time: 04:44 - Junction2: 6 cars through north, 50 waiting
Time: 04:47 - Junction2: 3 cars through Rj3to2, 0 waiting
Time: 04:53 - Junction2: 2 cars through Rj1to2, 0 waiting
Time: 04:56 - Junction2: 11 cars through north, 49 waiting
Time: 04:59 - Junction2: 8 cars through Rj3to2, 0 waiting

