Time: 00:05 - Junction4: 5 cars through Rj3to4, 0 waiting
Time: 00:11 - Junction4: 13 cars through south, 58 waiting
Time: 00:14 - Junction4: 16 cars through Rj3to4, 0 waiting
Time: 00:20 - Junction4: 16 cars through south, 57 waiting
Time: 00:23 - Junction4: 3 cars through Rj3to4, 0 waiting
Time: 00:29 - Junction4: 15 cars through south, 60 waiting
Time: 00:32 - Junction4: 6 cars through Rj3to4, 7 waiting
Time: 00:38 - Junction4: 14 cars through south, 57 waiting
Time: 00:41 - Junction4: 3 cars through Rj3to4, 7 waiting
Time: 00:46 - Junction4: 11 cars through south, 60 waiting
Time: 00:49 - Junction4: 3 cars through Rj3to4, 7 waiting
Time: 00:55 - Junction4: 15 cars through south, 57 waiting
Time: 00:58 - Junction4: 3 cars through Rj3to4, 7 waiting
Time: 01:04 - Junction4: 16 cars through south, 57 waiting
Time: 01:07 - Junction4: 4 cars through Rj3to4, 6 waiting
Time: 01:13 - Junction4: 15 cars through south, 58 waiting
Time: 01:16 - Junction4: 6 cars through Rj3to4, 6 waiting
Time: 01:22 - Junction4: 12 cars through south, 60 waiting
Time: 01:25 - Junction4: 7 cars through Rj3to4, 7 waiting
Time: 01:31 - Junction4: 10 cars through south, 59 waiting
Time: 01:33 - Junction4: 3 cars through Rj3to4, 7 waiting
Time: 01:39 - Junction4: 7 cars through south, 59 waiting
Time: 01:42 - Junction4: 3 cars through Rj3to4, 7 waiting
Time: 01:48 - Junction4: 15 cars through south, 56 waiting
Time: 01:51 - Junction4: 4 cars through Rj3to4, 7 waiting
Time: 01:57 - Junction4: 14 cars through south, 58 waiting
Time: 02:00 - Junction4: 6 cars through Rj3to4, 7 waiting
Time: 02:06 - Junction4: 15 cars through south, 57 waiting
Time: 02:09 - Junction4: 5 cars through Rj3to4, 7 waiting
Time: 02:15 - Junction4: 13 cars through south, 60 waiting
Time: 02:17 - Junction4: 3 cars through Rj3to4, 7 waiting
Time: 02:23 - Junction4: 9 cars through south, 60 waiting
Time: 02:26 - Junction4: 3 cars through Rj3to4, 7 waiting
Time: 02:32 - Junction4: 15 cars through south, 57 waiting
Time: 02:35 - Junction4: 6 cars through Rj3to4, 6 waiting
Time: 02:41 - Junction4: 8 cars through south, 59 waiting
Time: 02:44 - Junction4: 3 cars through Rj3to4, 6 waiting
Time: 02:50 - Junction4: 12 cars through south, 58 waiting
Time: 02:53 - Junction4: 3 cars through Rj3to4, 7 waiting
Time: 02:59 - Junction4: 13 cars through south, 58 waiting
Time: 03:02 - Junction4: 3 cars through Rj3to4, 6 waiting
Time: 03:08 - Junction4: 12 cars through south, 57 waiting
Time: 03:11 - Junction4: 5 cars through Rj3to4, 7 waiting
Time: 03:16 - Junction4: 11 cars through south, 59 waiting
Time: 03:19 - Junction4: 3 cars through Rj3to4, 6 waiting
Time: 03:25 - Junction4: 12 cars through south, 58 waiting
Time: 03:28 - Junction4: 7 cars through Rj3to4, 7 waiting
Time: 03:34 - Junction4: 16 cars through south, 59 waiting
Time: 03:37 - Junction4: 6 cars through Rj3to4, 7 waiting
Time: 03:43 - Junction4: 12 cars through south, 58 waiting
Time: 03:46 - Junction4: 3 cars through Rj3to4, 6 waiting
Time: 03:52 - Junction4: 11 cars through south, 59 waiting
Time: 03:55 - Junction4: 4 cars through Rj3to4, 6 waiting
Time: 04:01 - Junction4: 10 cars through south, 59 waiting
Time: 04:04 - Junction4: 3 cars through Rj3to4, 6 waiting
Time: 04:10 - Junction4: 15 cars through south, 57 waiting
Time: 04:13 - Junction4: 6 cars through Rj3to4, 6 waiting
Time: 04:19 - Junction4: 13 cars through south, 58 waiting
Time: 04:21 - Junction4: 3 cars through Rj3to4, 6 waiting
Time: 04:27 - Junction4: 9 cars through south, 59 waiting
Time: 04:30 - Junction4: 3 cars through Rj3to4, 7 waiting
Time: 04:36 - Junction4: 13 cars through south, 59 waiting
Time: 04:39 - Junction4: 3 cars through Rj3to4, 7 waiting
Time: 04:45 - Junction4: 13 cars through south, 58 waiting
Time: 04:48 - Junction4: 3 cars through Rj3to4, 7 waiting
Time: 04:54 - Junction4: 16 cars through south, 58 waiting
Time: 04:57 - Junction4: 3 cars through Rj3to4, 7 waiting

